experiment,well,exclude,sample,assay,role,cq,copies,thresholdSetting,thresholdCq,baselineSetting,baselineStart,baselineEnd
samples-template-niloticus_Aug02_2021_050430PM,A7,Excluded,13.06.19/24 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,A8,Excluded,niloticus-synthetic,niloticus,Standard,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,B1,,13.06.19/11 (1:5),niloticus,Unknown,30.3001087821978,186.423039564657,Auto,0.249,Auto,3,26
samples-template-niloticus_Aug02_2021_050430PM,B2,Excluded,13.06.19/13 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,B3,Excluded,13.06.19/15 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,B4,Excluded,13.06.19/18 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,B5,Excluded,13.06.19/20 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,B6,Excluded,13.06.19/22 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,B7,Excluded,13.06.19/24 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,B8,Excluded,niloticus-synthetic,niloticus,Standard,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,C1,,13.06.19/11 (1:5),niloticus,Unknown,30.9191622027869,122.463884173587,Auto,0.249,Auto,3,27
samples-template-niloticus_Aug02_2021_050430PM,C2,Excluded,13.06.19/13 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,C3,Excluded,13.06.19/15 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,C4,Excluded,13.06.19/18 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,C5,,13.06.19/20 (1:5),niloticus,Unknown,36.9861060160533,1.99308514129574,Auto,0.249,Auto,3,19
samples-template-niloticus_Aug02_2021_050430PM,C6,,13.06.19/22 (1:5),niloticus,Unknown,36.1641427349854,3.48203767187139,Auto,0.249,Auto,3,23
samples-template-niloticus_Aug02_2021_050430PM,C7,Excluded,13.06.19/24 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,C8,Excluded,niloticus-synthetic,niloticus,Standard,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,D1,,13.06.19/12 (1:5),niloticus,Unknown,30.4400422240448,169.530727317855,Auto,0.249,Auto,3,25
samples-template-niloticus_Aug02_2021_050430PM,D2,Excluded,13.06.19/14 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,D3,Excluded,13.06.19/16 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,D4,,13.06.19/19 (1:5),niloticus,Unknown,36.3076316184068,3.15888774296529,Auto,0.249,Auto,3,32
samples-template-niloticus_Aug02_2021_050430PM,D5,Excluded,13.06.19/21 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,D6,Excluded,13.06.19/23 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,D7,Excluded,17.06.19/01 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,D8,Excluded,,niloticus,NTC,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,E1,,13.06.19/12 (1:5),niloticus,Unknown,30.6832177167507,143.734958732734,Auto,0.249,Auto,3,26
samples-template-niloticus_Aug02_2021_050430PM,E2,Excluded,13.06.19/14 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,E3,Excluded,13.06.19/16 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,E4,Excluded,13.06.19/19 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,E5,Excluded,13.06.19/21 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,E6,Excluded,13.06.19/23 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,E7,Excluded,17.06.19/01 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,E8,Excluded,,niloticus,NTC,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,F1,,13.06.19/12 (1:5),niloticus,Unknown,31.3383008077623,92.1402997487603,Auto,0.249,Auto,3,25
samples-template-niloticus_Aug02_2021_050430PM,F2,Excluded,13.06.19/14 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,F3,Excluded,13.06.19/16 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,F4,Excluded,13.06.19/19 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,F5,Excluded,13.06.19/21 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,F6,Excluded,13.06.19/23 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,F7,Excluded,17.06.19/01 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug02_2021_050430PM,F8,Excluded,,niloticus,NTC,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,A1,Excluded,17.06.19/02 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,A2,,17.06.19/04 (1:5),niloticus,Unknown,36.066624527324,3.72032588046516,Auto,0.249,Auto,3,32
samples-template-niloticus_Aug03_2021_053553PM,A3,Excluded,17.06.19/06 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,A4,Excluded,13.06.19/17 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,A5,Excluded,MG01/02 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,A6,Excluded,MG02/01 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,A7,Excluded,MG02/03 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,A8,Excluded,niloticus-synthetic,niloticus,Standard,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,B1,Excluded,17.06.19/02 (1:5),niloticus,Unknown,,,Auto,,Auto,,
samples-template-niloticus_Aug03_2021_053553PM,B2,Excluded,17.06.19/04 (1:5),niloticus,Unknown,,,Auto,,Auto,,
